LA535.81 LB535.81 LC535.81 LD535.81 LE535.81 LF535.81 dLA0.00 dLB0.00 dLC0.00 dLD0.00 dLE0.00 dLF0.00 T0.00
LA585.20 LB511.27 LC513.13 LD568.02 LE561.71 LF580.72 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T24.14
LA580.53 LB511.23 LC512.64 LD567.57 LE561.68 LF576.02 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T25.19
LA576.02 LB511.42 LC512.36 LD567.32 LE561.85 LF571.47 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T26.25
LA571.66 LB511.82 LC512.29 LD567.26 LE562.21 LF567.08 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T27.30
LA567.47 LB512.44 LC512.45 LD567.40 LE562.77 LF562.85 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T28.35
LA563.44 LB513.27 LC512.81 LD567.73 LE563.53 LF558.79 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T29.41
LA559.58 LB514.32 LC513.40 LD568.26 LE564.49 LF554.89 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T30.46
LA555.89 LB515.58 LC514.20 LD568.98 LE565.63 LF551.18 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T31.51
LA552.38 LB517.05 LC515.21 LD569.90 LE566.98 LF547.63 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T32.56
LA549.05 LB518.73 LC516.44 LD571.01 LE568.51 LF544.27 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T33.62
LA545.90 LB520.62 LC517.87 LD572.31 LE570.23 LF541.10 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T34.67
LA542.94 LB522.71 LC519.52 LD573.80 LE572.14 LF538.11 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T35.72
LA540.16 LB525.00 LC521.37 LD575.48 LE574.24 LF535.31 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T36.77
LA537.58 LB527.50 LC523.43 LD577.34 LE576.52 LF532.70 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T37.83
LA535.19 LB530.19 LC525.69 LD579.39 LE578.99 LF530.29 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T38.88
LA533.00 LB533.08 LC528.15 LD581.63 LE581.63 LF528.08 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T39.93
LA531.01 LB536.16 LC530.81 LD584.04 LE584.46 LF526.07 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T40.98
LA529.22 LB539.43 LC533.66 LD586.64 LE587.45 LF524.27 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T42.04
LA527.64 LB542.88 LC536.71 LD589.41 LE590.62 LF522.67 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T43.09
LA526.26 LB546.51 LC539.94 LD592.35 LE593.96 LF521.27 dLA-2.95 dLB1.76 dLC1.34 dLD1.22 dLE1.61 dLF-2.97 T44.14
LA526.26 LB546.51 LC539.94 LD592.35 LE593.96 LF521.27 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T44.14
LA524.10 LB547.29 LC540.99 LD588.02 LE589.87 LF519.62 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T45.19
LA522.14 LB548.27 LC542.23 LD583.84 LE585.94 LF518.18 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T46.25
LA520.39 LB549.45 LC543.68 LD579.82 LE582.18 LF516.95 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T47.30
LA518.85 LB550.83 LC545.33 LD575.97 LE578.58 LF515.92 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T48.35
LA517.51 LB552.41 LC547.17 LD572.28 LE575.15 LF515.12 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T49.41
LA516.39 LB554.18 LC549.21 LD568.77 LE571.89 LF514.52 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T50.46
LA515.48 LB556.15 LC551.45 LD565.43 LE568.81 LF514.14 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T51.51
LA514.78 LB558.31 LC553.87 LD562.27 LE565.91 LF513.98 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T52.56
LA514.30 LB560.66 LC556.48 LD559.28 LE563.19 LF514.03 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T53.62
LA514.03 LB563.19 LC559.28 LD556.48 LE560.66 LF514.30 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T54.67
LA513.98 LB565.91 LC562.27 LD553.87 LE558.31 LF514.78 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T55.72
LA514.14 LB568.81 LC565.43 LD551.45 LE556.15 LF515.48 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T56.77
LA514.52 LB571.89 LC568.77 LD549.21 LE554.18 LF516.39 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T57.83
LA515.12 LB575.15 LC572.28 LD547.17 LE552.41 LF517.51 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T58.88
LA515.92 LB578.58 LC575.97 LD545.33 LE550.83 LF518.85 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T59.93
LA516.95 LB582.18 LC579.82 LD543.68 LE549.45 LF520.39 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T60.98
LA518.18 LB585.94 LC583.84 LD542.23 LE548.27 LF522.14 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T62.04
LA519.62 LB589.87 LC588.02 LD540.99 LE547.29 LF524.10 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T63.09
LA521.27 LB593.96 LC592.35 LD539.94 LE546.51 LF526.26 dLA-0.25 dLB2.37 dLC2.62 dLD-2.62 dLE-2.37 dLF0.25 T64.14
LA521.27 LB593.96 LC592.35 LD539.94 LE546.51 LF526.26 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T64.14
LA522.67 LB590.62 LC589.41 LD536.71 LE542.88 LF527.64 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T65.19
LA524.27 LB587.45 LC586.64 LD533.66 LE539.43 LF529.22 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T66.25
LA526.07 LB584.46 LC584.04 LD530.81 LE536.16 LF531.01 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T67.30
LA528.08 LB581.63 LC581.63 LD528.15 LE533.08 LF533.00 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T68.35
LA530.29 LB578.99 LC579.39 LD525.69 LE530.19 LF535.19 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T69.41
LA532.70 LB576.52 LC577.34 LD523.43 LE527.50 LF537.58 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T70.46
LA535.31 LB574.24 LC575.48 LD521.37 LE525.00 LF540.16 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T71.51
LA538.11 LB572.14 LC573.80 LD519.52 LE522.71 LF542.94 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T72.56
LA541.10 LB570.23 LC572.31 LD517.87 LE520.62 LF545.90 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T73.62
LA544.27 LB568.51 LC571.01 LD516.44 LE518.73 LF549.05 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T74.67
LA547.63 LB566.98 LC569.90 LD515.21 LE517.05 LF552.38 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T75.72
LA551.18 LB565.63 LC568.98 LD514.20 LE515.58 LF555.89 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T76.77
LA554.89 LB564.49 LC568.26 LD513.40 LE514.32 LF559.58 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T77.83
LA558.79 LB563.53 LC567.73 LD512.81 LE513.27 LF563.44 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T78.88
LA562.85 LB562.77 LC567.40 LD512.45 LE512.44 LF567.47 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T79.93
LA567.08 LB562.21 LC567.26 LD512.29 LE511.82 LF571.66 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T80.98
LA571.47 LB561.85 LC567.32 LD512.36 LE511.42 LF576.02 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T82.04
LA576.02 LB561.68 LC567.57 LD512.64 LE511.23 LF580.53 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T83.09
LA580.72 LB561.71 LC568.02 LD513.13 LE511.27 LF585.20 dLA2.97 dLB-1.61 dLC-1.22 dLD-1.34 dLE-1.76 dLF2.95 T84.14
LA535.81 LB535.81 LC535.81 LD535.81 LE535.81 LF535.81 dLA-4.49 dLB-2.59 dLC-3.22 dLD2.27 dLE2.45 dLF-4.94 T94.14

